raceId,year,round,circuitId,name,date
1021,2019,12,11,Hungarian Grand Prix,04-08-2019
1022,2019,13,13,Belgian Grand Prix,01-09-2019
1023,2019,14,14,Italian Grand Prix,08-09-2019
1024,2019,15,15,Singapore Grand Prix,22-09-2019
1025,2019,16,71,Russian Grand Prix,29-09-2019
1026,2019,17,22,Japanese Grand Prix,13-10-2019
1027,2019,18,32,Mexican Grand Prix,27-10-2019
1028,2019,19,69,United States Grand Prix,03-11-2019
1029,2019,20,18,Brazilian Grand Prix,17-11-2019
1030,2019,21,24,Abu Dhabi Grand Prix,01-12-2019
1031,2020,1,70,Austrian Grand Prix,05-07-2020
1032,2020,2,70,Styrian Grand Prix,12-07-2020
1033,2020,3,11,Hungarian Grand Prix,19-07-2020
1034,2020,4,9,British Grand Prix,02-08-2020
1035,2020,5,9,70th Anniversary Grand Prix,09-08-2020
1036,2020,6,4,Spanish Grand Prix,16-08-2020
1037,2020,7,13,Belgian Grand Prix,30-08-2020
1038,2020,8,14,Italian Grand Prix,06-09-2020
1039,2020,9,76,Tuscan Grand Prix,13-09-2020
1040,2020,10,71,Russian Grand Prix,27-09-2020
1041,2020,11,20,Eifel Grand Prix,11-10-2020
1042,2020,12,75,Portuguese Grand Prix,25-10-2020
1043,2020,13,21,Emilia Romagna Grand Prix,01-11-2020
1044,2020,14,5,Turkish Grand Prix,15-11-2020
1045,2020,15,3,Bahrain Grand Prix,29-11-2020
1046,2020,16,3,Sakhir Grand Prix,06-12-2020
1047,2020,17,24,Abu Dhabi Grand Prix,13-12-2020
1053,2021,2,21,Emilia Romagna Grand Prix,18-04-2021
1074,2022,1,3,Bahrain Grand Prix,20-03-2022
1052,2021,1,3,Bahrain Grand Prix,28-03-2021
1051,2021,20,78,Qatar Grand Prix,21-11-2021
1054,2021,3,75,Portuguese Grand Prix,02-05-2021
1055,2021,4,4,Spanish Grand Prix,09-05-2021
1056,2021,5,6,Monaco Grand Prix,23-05-2021
1057,2021,6,73,Azerbaijan Grand Prix,06-06-2021
1058,2021,8,70,Styrian Grand Prix,27-06-2021
1059,2021,7,34,French Grand Prix,20-06-2021
1060,2021,9,70,Austrian Grand Prix,04-07-2021
1061,2021,10,9,British Grand Prix,18-07-2021
1062,2021,11,11,Hungarian Grand Prix,01-08-2021
1063,2021,12,13,Belgian Grand Prix,29-08-2021
1064,2021,13,39,Dutch Grand Prix,05-09-2021
1065,2021,14,14,Italian Grand Prix,12-09-2021
1066,2021,15,71,Russian Grand Prix,26-09-2021
1067,2021,16,5,Turkish Grand Prix,10-10-2021
1069,2021,17,69,United States Grand Prix,24-10-2021
1070,2021,18,32,Mexico City Grand Prix,07-11-2021
1071,2021,19,18,São Paulo Grand Prix,14-11-2021
1072,2021,21,77,Saudi Arabian Grand Prix,05-12-2021
1073,2021,22,24,Abu Dhabi Grand Prix,12-12-2021
1075,2022,2,77,Saudi Arabian Grand Prix,27-03-2022
1076,2022,3,1,Australian Grand Prix,10-04-2022
1077,2022,4,21,Emilia Romagna Grand Prix,24-04-2022
1078,2022,5,79,Miami Grand Prix,08-05-2022
1079,2022,6,4,Spanish Grand Prix,22-05-2022
1080,2022,7,6,Monaco Grand Prix,29-05-2022
1081,2022,8,73,Azerbaijan Grand Prix,12-06-2022
1082,2022,9,7,Canadian Grand Prix,19-06-2022
1083,2022,10,9,British Grand Prix,03-07-2022
1084,2022,11,70,Austrian Grand Prix,10-07-2022
1085,2022,12,34,French Grand Prix,24-07-2022
1086,2022,13,11,Hungarian Grand Prix,31-07-2022
1087,2022,14,13,Belgian Grand Prix,28-08-2022
1088,2022,15,39,Dutch Grand Prix,04-09-2022
1089,2022,16,14,Italian Grand Prix,11-09-2022
1091,2022,17,15,Singapore Grand Prix,02-10-2022
1092,2022,18,22,Japanese Grand Prix,09-10-2022
1093,2022,19,69,United States Grand Prix,23-10-2022
1094,2022,20,32,Mexico City Grand Prix,30-10-2022
1095,2022,21,18,Brazilian Grand Prix,13-11-2022
1096,2022,22,24,Abu Dhabi Grand Prix,20-11-2022
1098,2023,1,3,Bahrain Grand Prix,05-03-2023
1099,2023,2,77,Saudi Arabian Grand Prix,19-03-2023
1100,2023,3,1,Australian Grand Prix,02-04-2023
1101,2023,4,73,Azerbaijan Grand Prix,30-04-2023
1102,2023,5,79,Miami Grand Prix,07-05-2023
1104,2023,6,6,Monaco Grand Prix,28-05-2023
1105,2023,7,4,Spanish Grand Prix,04-06-2023
1106,2023,8,7,Canadian Grand Prix,18-06-2023
1107,2023,9,70,Austrian Grand Prix,02-07-2023
1108,2023,10,9,British Grand Prix,09-07-2023
1109,2023,11,11,Hungarian Grand Prix,23-07-2023
1110,2023,12,13,Belgian Grand Prix,30-07-2023
1111,2023,13,39,Dutch Grand Prix,27-08-2023
1112,2023,14,14,Italian Grand Prix,03-09-2023
1113,2023,15,15,Singapore Grand Prix,17-09-2023
1114,2023,16,22,Japanese Grand Prix,24-09-2023
1115,2023,17,78,Qatar Grand Prix,08-10-2023
1116,2023,18,69,United States Grand Prix,22-10-2023
1117,2023,19,32,Mexico City Grand Prix,29-10-2023
1118,2023,20,18,São Paulo Grand Prix,05-11-2023
1119,2023,21,80,Las Vegas Grand Prix,19-11-2023
1120,2023,22,24,Abu Dhabi Grand Prix,26-11-2023
